*******************************
  /mnt/c/Users/montb/AppData/LocalLow/VRChat/VRChat/output_log_2024-02-29_01-05-27.txt
*******************************
2024.03.01 00:05:23 In >>	UmiNekoOrca
2024.03.01 00:10:41 Out<<	むいむーい
2024.03.01 00:12:33 Out<<	UmiNekoOrca
2024.03.01 00:13:43 Quit	651.5939
2024.03.01 00:13:43 Out<<	おぼぁ／obor
2024.03.01 00:13:43 Out<<	とぽす／Topos
2024.03.01 00:13:43 Out<<	ヒグニア
2024.03.01 00:13:43 Out<<	evecremie（イヴ）
2024.03.01 00:13:43 Out<<	こふーさん
2024.03.01 00:13:43 Out<<	チロ＜tiro＞
2024.03.01 00:13:43 Out<<	ほしぞらー
2024.03.01 00:13:43 Out<<	たけさん
2024.03.01 00:13:43 Out<<	nigo3
2024.03.01 00:13:43 Out<<	アルカリ0219
2024.03.01 00:13:43 Out<<	マグマン
2024.03.01 00:13:43 Out<<	もん ／ Montblanc
2024.03.01 00:13:45 Quit	653.631
*******************************
  /mnt/c/Users/montb/AppData/LocalLow/VRChat/VRChat/output_log_2024-04-20_14-00-33.txt
*******************************
2024.04.20 14:00:51 Enter	wrld_531e2ed0-cabe-43d7-ba82-b6933923a36b:80707~friends(usr_75b556cc-f123-44c5-8409-15974da68e89)~region(jp)
2024.04.20 14:01:01 In >>	もん ／ Montblanc
2024.04.20 14:01:02 Video	'https://youtu.be/T_pVQ3osPG4?si=3ubMKGN22v1-MP5H'
2024.04.20 14:01:08 Video	'https://youtu.be/d8VxJGByJhE?si=9asNyZsakhOp7qNh'
2024.04.20 14:03:14 Video	'https://youtu.be/yfw4DSFI88g?si=ZBNZe5npql2suSm7'
2024.04.20 14:07:02 Video	'https://youtu.be/ot1BlIXHsDI?si=SnTdB4-pqHqZWol2'
2024.04.20 14:10:49 Video	'https://youtu.be/EUc4IfU173Q?si=dwiLXBZPlqA9p4mj'
2024.04.20 14:12:45 Enter	wrld_531e2ed0-cabe-43d7-ba82-b6933923a36b:62963~friends(usr_75b556cc-f123-44c5-8409-15974da68e89)~region(jp)
2024.04.20 14:12:57 In >>	もん ／ Montblanc
2024.04.20 14:12:58 Video	'https://youtu.be/ot1BlIXHsDI?si=SnTdB4-pqHqZWol2'
2024.04.20 14:13:04 Video	'https://youtu.be/9BTuJ7nMqQM?si=kyaL_Hx-1jnuyNxz'
2024.04.20 14:13:30 Video	'https://youtu.be/lzr1_zf9gu8?si=tc0A0Ttm-yFEMMcb'
2024.04.20 14:15:05 Rejn	wrld_531e2ed0-cabe-43d7-ba82-b6933923a36b:62963~friends(usr_75b556cc-f123-44c5-8409-15974da68e89)~region(jp)
2024.04.20 14:15:14 Enter	wrld_531e2ed0-cabe-43d7-ba82-b6933923a36b:62963~friends(usr_75b556cc-f123-44c5-8409-15974da68e89)~region(jp)
2024.04.20 14:15:22 In >>	もん ／ Montblanc
2024.04.20 14:15:22 Video	'https://youtu.be/aJ4MqRfgz6s?si=mj1b3N73sxovYN14'
2024.04.20 14:15:28 Video	'https://youtu.be/d8VxJGByJhE?si=9asNyZsakhOp7qNh'
2024.04.20 14:17:35 Video	'https://youtu.be/62EBf1yyZ-w?si=5UkvyEaPmzK5OvyR'
2024.04.20 14:19:59 Video	'https://youtu.be/GtEpCZcHRkw?si=4jHspOM9JNYIMe0L'
2024.04.20 14:20:48 Rejn	wrld_531e2ed0-cabe-43d7-ba82-b6933923a36b:62963~friends(usr_75b556cc-f123-44c5-8409-15974da68e89)~region(jp)
2024.04.20 14:20:57 Enter	wrld_531e2ed0-cabe-43d7-ba82-b6933923a36b:62963~friends(usr_75b556cc-f123-44c5-8409-15974da68e89)~region(jp)
2024.04.20 14:21:08 In >>	もん ／ Montblanc
2024.04.20 14:21:08 Video	'https://youtu.be/EUc4IfU173Q?si=dwiLXBZPlqA9p4mj'
2024.04.20 14:21:14 Video	'https://youtu.be/T_pVQ3osPG4?si=3ubMKGN22v1-MP5H'
2024.04.20 14:21:36 Video	'https://youtu.be/9BTuJ7nMqQM?si=kyaL_Hx-1jnuyNxz'
2024.04.20 14:21:43 Video	'https://youtu.be/5Ee8kDRlyzA?si=2LNBss_bqjj7fN48'
